nom_hatvp;nom_developpe;accronyme;variation;
OPERA DE ROUEN HAUTE NORMANDIE;OPERA DE ROUEN HAUTE NORMANDIE;;Théâtre des Arts;
LAGARDERE MEDIA NEWS;LAGARDERE MEDIA NEWS;;Lagardère Active;
FRANCE LYME;Association France Lyme;;;
JEUNES AGRICULTEURS DE LA HAUTE VIENNE 87;JEUNES AGRICULTEURS DE LA HAUTE VIENNE 87;JA 87;;
MUTUALITE FRANCAISE ILE DE FRANCE;MUTUALITE FRANCAISE ILE DE FRANCE;MUFIF;;
UNION DES ENTREPRISES DE PROXIMITE CENTRE-VAL DE LOIRE;UNION DES ENTREPRISES DE PROXIMITE CENTRE-VAL DE LOIRE;U2P CENTRE-VAL DE LOIRE;;
CHAMBRE DE METIERS D'ALSACE;CHAMBRE DE METIERS D'ALSACE;CMA ALSACE;;
COMITE DEP LIGUE NAT CONTRE LE CANCER;COMITE DEPARTEMENTAL DE LA LIGUE NATIONALE CONTRE LE CANCER;;;
VINCI ENERGIES;VINCI Energies S.A.;;Vinci Énergies;
FÉDÉRATION DU BÂTIMENT ET DES TP DU GERS;FÉDÉRATION DU BÂTIMENT ET DES TP DU GERS;FFB 32;;
UNICINE L'UNION DES CINEMAS;UNICINE L'UNION DES CINEMAS;;;
CHAMBRE DE COMMERCE ET D INDUSTRIE DE L ARDECHE;CHAMBRE DE COMMERCE ET D INDUSTRIE DE L ARDECHE;CCI 09;CCI Ardèche;
MORLANNE CONSEIL-SAS;MORLANNE CONSEIL-SAS;;;
ASSOCIATION NATIONALE DES SOCIETES PAR ACTIONS;ASSOCIATION NATIONALE DES SOCIETES PAR ACTIONS;ANSA;;
MUTUELLE UNEO;MUTUELLE UNEO;Unéo;;
BIEN COMMUN ADVISORY;BIEN COMMUN ADVISORY;;;
SIEMENS MOBILITY SAS;SIEMENS MOBILITY SAS;;Siemens Mobility;
FEDERATION NATIONALE DU BOIS (FNB);FEDERATION NATIONALE DU BOIS (FNB);FNB;;
SIEMENS S.A.S;SIEMENS S.A.S;;Siemens;
INSTI 7;INSTI 7;;;
LIGUE FRANCAISE CONTRE LA SCLEROSE EN PLAQUES;LIGUE FRANCAISE CONTRE LA SCLEROSE EN PLAQUES;LFSEP;;
CINOV CONSTRUCTION;CINOV CONSTRUCTION;;;
SYNDICAT NATIONAL DE L'ALIMENTATION ET DE LA RESTAURATION RAPIDE;SYNDICAT NATIONAL DE L'ALIMENTATION ET DE LA RESTAURATION RAPIDE;SNARR;;
CHAMBRE DES METIERS ET DE L'ARTISANAT D'ILLE-ET-VILLAINE;CHAMBRE DES METIERS ET DE L'ARTISANAT D'ILLE-ET-VILLAINE;CMA 35;CMA Bretagne;
H2AIR;H2AIR;;;
FONCIER SOLIDAIRE FRANCE;FONCIER SOLIDAIRE FRANCE;OFS;Foncier Solidaire;
ARTURIA;ARTURIA;;;
FEDERATION BATIMENT ET TRAVAUX PUBLICS DE LOT ET GARONNE;FEDERATION BATIMENT ET TRAVAUX PUBLICS DE LOT ET GARONNE;FBTP LOT ET GARONNE 47;FFB 47;
